Nombre,Dirección,Latitud,Longitud,Teléfono,Horario,Página Web,Rating,Reseñas,Precio,Popularidad
Colihue Indumentaria,"Av. Siete Lagos 101-199, Villa La Angostura, Neuquén, Argentina",-40.7619302,-71.6454335,,"['Monday: 10:00\u202fAM\u2009–\u20098:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 4:00\u2009–\u20098:30\u202fPM', 'Sunday: Closed']",,,[],,
Roses,"Av. Arrayanes 282, Q8407 Villa La Angostura, Neuquén, Argentina",-40.76293190000001,-71.6418157,011 15-2639-4231,"['Monday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20098:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20098:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20098:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20098:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",,,[],,
"Lavadero ""Industrial Angostura""","Las Retamas 646, Q8407 Villa La Angostura, Neuquén, Argentina",-40.7605108,-71.63685749999999,0294 423-6469,"['Monday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']",,4.8,"['Good service, 4500P for a large bag of laundry, dropped off in the evening and got it back at the end of the following day, clean and folded. Only negative is that you have to shout for attention. Enter through the door to the left of the building.', 'All of our clothes came back clean and fresh smelling. Malena and the team are so friendly and welcoming… best lavadero in Argentina!', 'Excellent laundry room! They took all of our clothes and the next day they delivered them to us in impeccable condition!!! Super fast. They dry with cold air which is a goal because nothing shrinks. Super recommended!!!', 'Excellent service! Everything was impeccable, perfumed and the attention was worth noting! More than excellent, highly recommended! Everyone is very cool and it shows that they do it with great care and love! Super professionals 💪🏽', 'Very good service, we left the washing in the morning type 12 and the next day it was done. Each wash ARS4500 (January 2024).\n\nThe only thing that bothered me was that when I turned over a soccer jersey that I loved (the only one that was like this) I found it all stained. I hope those stains come out 🙏\n\nSo I recommend that you see which items to leave and which to wash by hand, just in case.']",,63.0
Muebleria Art. Para Hogar Saieg Confort,"9 de Julio, Valcheta, Río Negro, Argentina",-40.6776288,-66.1625403,,,,4.3,"['Furniture of all types and for all tastes, excellent attention from its owner', 'Sale of furniture for home and offices.', '']",,3.0
Muebleria Art. Para Hogar Saieg Confort,"9 de Julio, Valcheta, Río Negro, Argentina",-40.6776288,-66.1625403,,,,4.3,"['Furniture of all types and for all tastes, excellent attention from its owner', 'Sale of furniture for home and offices.', '']",,3.0
TODO BARATO HOGAR,"Aníbal Pinto 347, 5020000 Araucanía, Nueva Imperial, Araucanía, Chile",-38.7417256,-72.9534961,9 6303 2980,"['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']",,4.4,"['Excellent service, very pleasant atmosphere, top quality products, and I found everything I needed for my bed AND AT A VERY GOOD PRICE, from start to finish a 7.', 'Excellent place where you will find items at very good prices. Cared for by their owners.', 'I qualify with this grade for now but it can change. I bought a mattress that came out with a fault. I filed a claim which was accepted but so far they have not made the change.', 'EVERYTHING IS CHEAP. AS IT IS!! AND WITH AN OFFICE WITHIN THE URBAN RADIUS. NOTHING TO SEND TO LARGE RETAIL STORES.💪', 'Very expensive, the items do not have a lower value than the official stores.']",,16.0
"Telas ""Tienda Anita""","Vicuña Mackena 302, 5020000 Nueva Imperial, Araucanía, Chile",-38.7447773,-72.9538488,9 3612 6208,"['Monday: 9:00\u202fAM\u2009–\u20096:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: Closed']",,5.0,['Good $$$'],,1.0
ABCDIN Nueva Imperial,"Arturo Prat 201, 5020000 Nueva Imperial, Araucanía, Chile",-38.743942,-72.9529008,600 830 2222,"['Monday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Sunday: Closed']",http://www.abcdin.cl/,3.5,"[""Those in this store are scoundrels. Excessive charges on credit cards since they impose insurance on clients and do not allow credit cards to be closed. They say that next month I can, which is a lie since one goes next month and they don't close it either!!! Scoundrels who take advantage of the humble people of Imperial all to earn their commissions."", ""I don't like the attention, a lot of salespeople playing with cell phones and little concerned with serving or organizing the store, there is little space, but if the products were organized in a better way, more people would come in to buy and not cover the entrance so much in order to better appreciate the view towards the interior of the store... Greetings..."", 'Excellent attention. In the En Retiro Module, the young man was very friendly and had good attention to the public, and also clarified our doubts.', 'Hello, will you receive Nintendo Switch games or accessories? Since I see very few, but I wonder if they will get more', 'Warehouse where we find a wide variety of electronic and household items. Lots of assortment and little space to have everything. At times it is not possible to circulate very well due to the lack of spaciousness of the establishment and the large content of products everywhere and also the visits of the entire public because it is the only establishment of this type in the commune.']",,157.0
Alejandra mendez,"Cholchol, Araucania, Chile",-38.4679393,-72.9874023,,,,,[],,
Grafisestudio,"Pje. Juan Antonio Rios 0787, 5020824 Araucanía, Nueva Imperial, Araucanía, Chile",-38.73510539999999,-72.9443826,9 3582 4945,,,,[],,
Basari Accesorios,"Gral. Baquedano 132, 5020000 Araucanía, Nueva Imperial, Araucanía, Chile",-38.7438346,-72.95614549999999,9 6453 1350,"['Monday: 11:30\u202fAM\u2009–\u20096:30\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u20096:30\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u20096:30\u202fPM', 'Sunday: Closed']",https://basari-accesorios.ueniweb.com/?utm_campaign=gmb,5.0,[''],,1.0
Decoraciones Agsil,"Arboleda del Portal - Codorniz 02268, 4791009 Temuco, Araucanía, Chile",-38.749961,-72.6428364,9 9844 4075,"['Monday: 10:30\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",http://www.decoracionesagsiltemuco.cl/,4.6,"['Excellent service, very attentive, they met the established deadlines, Cristian, the one who installs the curtains, very friendly and dedicated to his work, responsible and 100% recommended, my roller and curtains turned out wonderful🤗', 'Patient and very kind in the selection process, responsible and punctual with coordinated dates and times.\nExcellent service, more than recommended 💯', 'Excellent service and excellent installation, it was fast and my curtains look beautiful, thank you very much', 'Excellent Service, in a week the bedroom curtains and in less than 2 weeks the entirety.\n\nVery neat installation, fully recommended.', 'Here I share some photos of the excellent work on roller blinds at Decoraciones Agsil (Temuco).']",,33.0
Roller Home Temuco,"Martín Lutero 02462, 4780000 Temuco, Araucanía, Chile",-38.7492442,-72.64574499999999,9 6848 8828,"['Monday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",,4.9,"['Very good experience!\nFrom advice to installation.\nThey have very nice and quality products.\nVery friendly at the time of service and during the installation they left everything impeccable. We recommend!', 'Very grateful for the guidance they gave me, all the people who assisted us were very loving, both in the office and during the installation of these beautiful curtains! I totally loved the design! It turned out just as I dreamed! All very responsible and committed! 1000% recommended', 'A very professional company, they took care of all our curtains including a 4.7 meter high unislat model, everything was excellent, we are very satisfied with the service provided, high quality and resistant products. Highly recommended!!!', ""Happy with the attention of both Daniela from the sales office and the installation guys. All my windows looked beautiful with their Roller blinds. Excellent work, the quality is appreciated in everything. It's worth it. :) 100% recommended."", 'I loved the attention from the first contact. The designs, the care they take in the installation process; One of the curtains had a small detail that was quickly resolved (impeccable after-sales). Thank you for everything Rollers Home Temuco.']",,57.0
Corema Decoraciones,"Av. San Martín 614, 4810749 Temuco, Araucanía, Chile",-38.7395711,-72.6114939,(45) 223 3407,"['Monday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",http://www.corema.cl/,4.7,"['I had some sunscreen and blackout roller blinds made. They were beautiful. Good quality of the fabrics. Meticulous work and very responsible. Very good experience.', 'Excellent attention. Great variety of products', 'Bad experience, no matter how many times I called, they never gave me the quote and that quote was scheduled.', 'Excellent service, my curtains turned out beautiful.', 'Beautiful!!! Beautiful!!! Beloved 😍😍😍']",,13.0
Decorene,"Hochstetter 445, Temuco, Araucanía, Chile",-38.7336082,-72.612967,(45) 265 7477,"['Monday: 9:30\u202fAM\u2009–\u20091:30\u202fPM, 2:30\u2009–\u20097:30\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20091:30\u202fPM, 2:30\u2009–\u20097:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20091:30\u202fPM, 2:30\u2009–\u20097:30\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20091:30\u202fPM, 2:30\u2009–\u20097:30\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20091:30\u202fPM, 2:30\u2009–\u20097:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",http://www.decorene.cl/,4.3,"['The service is very familiar, welcoming, advisory, excellent quality of products and those who serve. Thank you so much. More than 20 shopping at Decorene. Thank you!!!!', 'It is an excellent store to dress up the house. Excellent atention. The place is beautiful. Very well located.', 'Very good products, quality, not very cheap, but quality is paid for and excellent service', 'Excellent service, wide variety, assortment and colors of carpets and at very competitive prices.', 'Everything very nice for the home sold by catalog']",,57.0
El Olivar,"Hochstetter 1099, Temuco, Araucanía, Chile",-38.7405019,-72.61851229999999,9 8159 0867,"['Monday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20091:30\u202fPM', 'Sunday: Closed']",http://www.elolivarspa.cl/,5.0,"['They have the most beautiful curtains and awnings in Temuco, dry designers advise']",,1.0
CHANTILLY,"Manuel Montt 841, 4790978 Temuco, Araucanía, Chile",-38.7383583,-72.5900107,(45) 221 0700,"['Monday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",http://www.chantilly.cl/,4.2,"[""Surely you have wanted with great pleasure, sacrifice and accompanied by your family, to go buy items that can be representative for your home, and sometimes you come across some promotions that can attract attention and without a doubt whether or not you have all the money in the world , you wouldn't let them lose.\n\nThus, yesterday, August 14, we found this store in the center of Temuco, where, with apparently misleading advertising, we entered and received totally unpleasant treatment.\n\nIncredibly, when you are received in a discriminatory and derogatory manner in any type of establishment, you must imagine the type of person who works, works or owns a business like this.\n\nWell, we cannot let it go that an elderly lady (adult) who provided her service in this store as a salesperson or customer service and who was controlling the entry, to then serve the customers, gave us a deplorable and segregated welcome, characterized by making us feel discriminated against, by their gaze, gestures and explicitly belittling the fact that we could acquire any good.\n\nFor our part, we do not recommend this place at all, because despite being well located, its prices are not in line with the market, if we refer to the fact that most of what is offered can be found in other stores at a better price.\n\nAlthough this situation was very uncomfortable, for us it will become just an anecdote. However, we are aware that unfortunately it can be a reality that is experienced daily."", 'Excellent store, very good service... concerned at all times to take good care of what we needed and we bought happily.', 'South American Chile🇨🇱 is also good', 'I always find something beautiful at Christmas and gifts', 'Very good service and excellent product']",,10.0
CASA DECO.,"Casa color, 4810654 Centro Comercial Sevilla,Local 107 - Av. Pablo Neruda 02050, Local 107, 4810628 Temuco, Araucanía, Chile",-38.7382988,-72.63185779999999,9 6573 0722,"['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",https://www.instagram.com/temuco.casadeco/,,[],,
Casa Zedan Limitada,"Manuel Rodriguez 1299, 4790860 Temuco, Araucanía, Chile",-38.7371935,-72.5833593,9 7213 7076,"['Monday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",http://www.facebook.com/telaszedan,4.3,"[""Traditional point of sale of various fabrics. Undoubtedly the pandemic has affected it, like many areas in the commercial area, since although it is true the variety is not as complete as before, it remains with the best prices in its area.\nIt is important to support this venture that is part of the local culture: let's buy at this location and take a look around.\nI compared their prices with other similar businesses and there is a lot of difference in favor of this Fabric House.\nTotally recommended"", ""I love that it looks small and you can find almost everything there, but I think it needs some remodeling to locate the fabrics. It's easy"", 'I liked it, I found what I was looking for, the prices of the flannels were a little high but good quality so it makes up for it.\nThey need to bring more colors.\nThe place is a little dark, it needs a little more light.\nThe attention was rapid, perhaps there could have been more workers so as not to overload those who are there.\nMore variety, it would be good if they had a sample type of fabric with their names so you could see the fabrics they have by their texture and their names and that way you would choose more quickly.\nThe good thing is that the purchase network has to make a faster purchase.', 'Very good place to buy fabrics. Variety of products and good customer service. I recommend it', 'Excellent service, pleasant atmosphere. Beautiful fabrics and a wide variety of designs. 🌹']",,52.0
MSTUARD Personal Concept Home,"Av. Pablo Neruda 02050, Local 110, 4810628 Temuco, Araucanía, Chile",-38.7383458,-72.6318742,(45) 264 2500,"['Monday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",http://www.facebook.com/pages/MSTUARD/74379142765,2.3,"['', '', '']",,3.0
Casaideas,"Portal Temuco - Av. Alemania 671, local 3007, 4800979 Temuco, Araucanía, Chile",-38.73392409999999,-72.6104969,(2) 2389 1000,"['Monday: 10:00\u202fAM\u2009–\u20098:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20098:30\u202fPM']",http://www.casaideas.cl/,4.4,"['Nice place, well lit. Variety of merchandise for the home, good prices and many new items. Depending on the season you can find offers.', 'On November 9, I made a purchase, today it is the 20th and nothing has yet arrived, according to them or their terrible courier company, Urbano, they have been twice and there is no one and I asked to take it to a Starken agency, there are always people. Never more!', ""The only bad thing about the place is that the cashiers don't help in packing things, I won't say why I can't do it, in fact I always do it wherever I go but I have zero empathy for the public, in my case today I went alone and I was already carrying a lot of bags, which made it extremely difficult for me to store my things, to work with the public with a minimum of empathy.\nMaybe they are not all."", 'Excellent service and many beautiful things for the home for sale.', 'Varied and innovative products 😉']",,194.0
CORTINAS METÁLICAS EN TEMUCO- REVALMET,"Caupolicán 832, Temuco, Araucanía, Chile",-38.7329208,-72.58774389999999,9 5657 0479,,http://www.cortinasmetalicasrv.cl/,3.7,"['Excelente empresa, hoy terminamos 7 cortinas metálicas industriales.. los recomendamos por su excelente servicio', 'Terrible service, the manager does not even have the slightest respect for answering the phone, I wasted my time waiting for him to answer, zero professionalism, you can read his ridiculous response for yourself, of course I did not take any service with the black man since he never sent me the quote, I I can also create fake accounts to give you 1 star just like you do to give yourself 5 stars and counteract my bad evaluation, A BIG CHANTA, I wait for your LEGAL TEAM JAUAJUAJAUAJAJAUA', 'Quality service, responsible company, I recommend them 100%']",,3.0
Roller Now SpA,"Río Correntoso 1980, 4780000 Temuco, Araucanía, Chile",-38.742042,-72.5750237,9 4115 0949,"['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",,5.0,"['Excellent quality and good service 100% recommended', 'Excellent quality and service.', 'Super recommended!! Excellent professionals ⭐️⭐️⭐️⭐️⭐️']",,3.0
Easy Temuco,"Caupolicán 0650, 4791680 Temuco, Araucanía, Chile",-38.746449,-72.607199,(45) 229 7300,"['Monday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20099:00\u202fPM']",https://www.easy.cl/,4.0,"['Ok', 'Normal', 'Linda', 'Aionso B🤩🤩🤩🤩🤩🤩🤩🥳🥳🥳🥳🥳🥳🥳', 'Nice prices and product range.']",,8535.0
la casade la sabana,"Gral. Aldunate 225, 4790834 Temuco, Araucanía, Chile",-38.7360291,-72.58695639999999,,"['Monday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20091:30\u202fPM', 'Sunday: Closed']",,5.0,"['Good service, wide variety of fabrics at good prices.', '']",,2.0
Sodimac Homecenter Temuco-Cautín,"Caupolicán 0457, 4811122 Temuco, Araucanía, Chile",-38.7439503,-72.6090078,600 329 2002,"['Monday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20098:00\u202fPM']",https://www.sodimac.cl/sodimac-cl,4.0,"['Nice hardware store. You can find all sort of stuff to complete your DIY projects or more ""serious"" projects like house remodeling.\nNot the best store personnel though, that\'s why I gave 4/5.', ""Sodimac Homecenter in Temuco is a great place for all your trade needs, there is a decent little selection of Spray Paint in various different brands and styles, it's not the best value for money but it still has some good stock."", ""Typical brown box store. it's functions, not really like it. Two large too big no personal help"", 'Easy to pay but sometimes hard to find someone to help you or assist on the halls.', ""It's very expensive in comparison to other local places. It's a big box store.""]",,9925.0
Segucor,"Antonio Varas 687, 4780000 Temuco, Araucanía, Chile",-38.7398403,-72.5927799,(41) 271 3387,,https://www.segucor.cl/about-us/,,[],,
San Fu,"Diego Portales 1021, 4790907 Temuco, Araucanía, Chile",-38.7377033,-72.5871453,,,,5.0,"['Hello, I bought several duo roller blinds of different sizes of very good quality and at a good price. The attention of your staff was excellent.']",,1.0
Cortinas y Decoración Carmen Cariñe,"Los Mañíos 02947, 4801536 Cautin, Temuco, Araucanía, Chile",-38.7222057,-72.6329903,9 7657 7668,,,,[],,
Rollersur HunterDouglas Temuco,"Navarino 01150, 4810130 Temuco, Araucanía, Chile",-38.7360187,-72.6189148,9 9086 1203,"['Monday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 2:00\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 2:00\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 2:00\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 2:00\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 2:00\u2009–\u20097:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",https://www.instagram.com/rollersurcortinas/,,[],,
EMCOR,"Basilio Urrutia 0530, 4780848 Temuco, Araucanía, Chile",-38.7293506,-72.57699,9 9064 7775,"['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']",,,[],,
Deco Style Cl,"Mahler 0118, 4780000 Temuco, Araucanía, Chile",-38.7117388,-72.6547184,9 3768 9846,"['Monday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: Closed']",,5.0,['All kinds of home products 🥰'],,1.0
Sodimac Homecenter Temuco - Los Pablos,"Av. Las Encinas 2470, 4813092 Temuco, Araucanía, Chile",-38.74211499999999,-72.6396623,600 329 2002,"['Monday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20098:00\u202fPM']",https://www.sodimac.cl/sodimac-cl,4.5,"['Ok', 'Caroooooooo', 'Modern store. It has a large sector for seasonal and garden products.\nThere is sheltered bicycle parking. The checkout system is completely self-service with a single queue. People gather while waiting but they move forward.', 'There is everything like in a pharmacy, it is an excellent place with a wide variety of prices and quality.', 'Everything you are looking for and more you can get here!\nGood attention!']",,822.0
